date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:07:44	1401/1401	---M--	200	added ('OK')	text/css	etag:%22801377aeefced11:0%22	https://registroacademico.catolica.edu.sv/rsc/assets/css/modern-business.css	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/assets/css/modern-business.css	(from https://registroacademico.catolica.edu.sv/)
10:07:44	1282/1282	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2019%20May%202023%2016:21:20%20GMT	https://registroacademico.catolica.edu.sv/assets/plugins/jquery-1.10.2.js	C:/UNICAES/registroacademico.catolica.edu.sv/assets/plugins/jquery-1.10.2.9.delayed	(from https://registroacademico.catolica.edu.sv/)
10:07:45	134/134	---M--	302	error ('Found')	text/html	date:Fri,%2019%20May%202023%2016:21:20%20GMT	https://registroacademico.catolica.edu.sv/Home/tramites	C:/UNICAES/registroacademico.catolica.edu.sv/Home/tramites.a.delayed	(from https://registroacademico.catolica.edu.sv/)
10:07:48	16608/16608	---M--	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2016:21:23%20GMT	https://registroacademico.catolica.edu.sv/Home/tramitesv20	C:/UNICAES/registroacademico.catolica.edu.sv/Home/tramitesv20.html	(from https://registroacademico.catolica.edu.sv/)
10:07:49	14643/14643	---M--	200	added ('OK')	text/html	etag:%22ec8b7f6a7857d41:0%22	https://registroacademico.catolica.edu.sv/rsc/Facultades/Carreras_Humanidades.html	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/Facultades/Carreras_Humanidades.html	(from https://registroacademico.catolica.edu.sv/)
10:07:49	8029/8029	---M--	200	added ('OK')	text/html	etag:%220d0c5c3e9e8d11:0%22	https://registroacademico.catolica.edu.sv/rsc/Facultades/Carreras_Ingenieria.html	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/Facultades/Carreras_Ingenieria.html	(from https://registroacademico.catolica.edu.sv/)
10:07:50	5774/5774	---M--	200	added ('OK')	text/html	etag:%2280665ec4e9e8d11:0%22	https://registroacademico.catolica.edu.sv/rsc/Facultades/Carreras_Salud.html	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/Facultades/Carreras_Salud.html	(from https://registroacademico.catolica.edu.sv/)
10:07:50	7062/7062	---M--	200	added ('OK')	text/html	etag:%2280779b19ece8d11:0%22	https://registroacademico.catolica.edu.sv/rsc/Facultades/Carreras_empresariales.html	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/Facultades/Carreras_empresariales.html	(from https://registroacademico.catolica.edu.sv/)
10:07:51	7728/7728	---M--	200	added ('OK')	text/html	etag:%2280665ec4e9e8d11:0%22	https://registroacademico.catolica.edu.sv/rsc/Facultades/Carreras_postgrado.html	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/Facultades/Carreras_postgrado.html	(from https://registroacademico.catolica.edu.sv/)
10:07:52	13341/13341	---M--	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2016:21:27%20GMT	https://registroacademico.catolica.edu.sv/Home/ccsn_sv_eeuu	C:/UNICAES/registroacademico.catolica.edu.sv/Home/ccsn_sv_eeuu.html	(from https://registroacademico.catolica.edu.sv/)
10:07:53	10174/10174	---M--	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2016:21:27%20GMT	https://registroacademico.catolica.edu.sv/Home/contactos	C:/UNICAES/registroacademico.catolica.edu.sv/Home/contactos.html	(from https://registroacademico.catolica.edu.sv/)
10:07:54	69679/69679	---M--	200	added ('OK')	image/png	etag:%22802e5c4711e2d11:0%22	https://registroacademico.catolica.edu.sv/rsc/images/logo_u.png	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/images/logo_u.png	(from https://registroacademico.catolica.edu.sv/)
10:07:56	19599/19599	---M--	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2016:21:31%20GMT	https://registroacademico.catolica.edu.sv/Home/graduacion	C:/UNICAES/registroacademico.catolica.edu.sv/Home/graduacion.html	(from https://registroacademico.catolica.edu.sv/)
10:07:59	31338/31338	---M--	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2016:21:32%20GMT	https://registroacademico.catolica.edu.sv/Home/nuevo_ingreso	C:/UNICAES/registroacademico.catolica.edu.sv/Home/nuevo_ingreso.html	(from https://registroacademico.catolica.edu.sv/)
10:07:59	741316/741316	---M--	200	added ('OK')	image/jpeg	etag:%2280ea90f0b0e9d11:0%22	https://registroacademico.catolica.edu.sv/rsc/slide_img/redondel_u.jpg	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/slide_img/redondel_u.jpg	(from https://registroacademico.catolica.edu.sv/)
10:08:02	363312/363312	---M--	200	added ('OK')	application/pdf	etag:%22a84ea2244cfd61:0%22	https://registroacademico.catolica.edu.sv/rsc/docs/guigen_alu01.pdf	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/docs/guigen_alu01.pdf	(from https://registroacademico.catolica.edu.sv/)
10:08:02	56067/56067	---M--	200	added ('OK')	application/pdf	etag:%222b69aac989ad91:0%22	https://registroacademico.catolica.edu.sv/rsc/docs/INFORMACION-ANTIGUO-INGRESO.pdf	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/docs/INFORMACION-ANTIGUO-INGRESO.pdf	(from https://registroacademico.catolica.edu.sv/)
10:08:04	254059/254059	---M--	200	added ('OK')	image/png	etag:%221d8550465de1d71:0%22	https://registroacademico.catolica.edu.sv/rsc/images/PROCESOS-ACADEMICOS.png	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/images/PROCESOS-ACADEMICOS.png	(from https://registroacademico.catolica.edu.sv/)
10:08:04	132211/132211	---M--	200	added ('OK')	image/jpeg	etag:%2280272d122fe4d11:0%22	https://registroacademico.catolica.edu.sv/rsc/images/gradu.jpg	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/images/gradu.jpg	(from https://registroacademico.catolica.edu.sv/)
10:08:05	10724/10724	---M--	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2016:21:40%20GMT	https://registroacademico.catolica.edu.sv/Home/calendario01	C:/UNICAES/registroacademico.catolica.edu.sv/Home/calendario01.html	(from https://registroacademico.catolica.edu.sv/)
10:08:06	12242/12242	---M--	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2016:21:40%20GMT	https://registroacademico.catolica.edu.sv/Home/serviciosdocentes	C:/UNICAES/registroacademico.catolica.edu.sv/Home/serviciosdocentes.html	(from https://registroacademico.catolica.edu.sv/)
10:08:07	39056/39056	---M--	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2016:21:41%20GMT	https://registroacademico.catolica.edu.sv/Home/historico_grad	C:/UNICAES/registroacademico.catolica.edu.sv/Home/historico_grad.html	(from https://registroacademico.catolica.edu.sv/)
10:08:07	12259/12259	---M--	200	added ('OK')	text/html	date:Fri,%2019%20May%202023%2016:21:42%20GMT	https://registroacademico.catolica.edu.sv/Home/serviciosdocentesidiomas	C:/UNICAES/registroacademico.catolica.edu.sv/Home/serviciosdocentesidiomas.html	(from https://registroacademico.catolica.edu.sv/)
10:08:10	178/178	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2019%20May%202023%2016:08:07%20GMT	http://cdn.clustrmaps.com/map_v2.js?d=-qAvfbp1LwR2EnYTAelzl1vfAiRhTLIjS12RLptZg1w&cl=ffffff&w=a	C:/UNICAES/cdn.clustrmaps.com/map_v2.21975a.delayed	(from https://registroacademico.catolica.edu.sv/)
10:08:17	95786/95786	---M-Z	200	added ('OK')	application/javascript	etag:%22013c4dcccbd11:0%22	https://registroacademico.catolica.edu.sv/rsc/assets/js/jquery.min.js	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/assets/js/jquery.min.js	(from https://registroacademico.catolica.edu.sv/)
10:08:19	72887/72887	---MCZ	200	added ('OK')	text/javascript	date:Fri,%2024%20Jul%202020%2010:42:29%20GMT	http://clustrmaps.com/map_v2.js?d=-qAvfbp1LwR2EnYTAelzl1vfAiRhTLIjS12RLptZg1w&cl=ffffff&w=a	C:/UNICAES/clustrmaps.com/map_v2975a.js	(from https://registroacademico.catolica.edu.sv/)
10:08:20	7082/7082	---M--	200	added ('OK')	application/javascript	etag:%22013c4dcccbd11:0%22	https://registroacademico.catolica.edu.sv/rsc/assets/js/wow.min.js	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/assets/js/wow.min.js	(from https://registroacademico.catolica.edu.sv/)
10:08:21	35601/35601	---M--	200	added ('OK')	application/javascript	etag:%22013c4dcccbd11:0%22	https://registroacademico.catolica.edu.sv/rsc/assets/js/bootstrap.min.js	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/assets/js/bootstrap.min.js	(from https://registroacademico.catolica.edu.sv/)
10:08:22	32049/32049	---M--	200	added ('OK')	application/javascript	etag:%22013c4dcccbd11:0%22	https://registroacademico.catolica.edu.sv/rsc/assets/js/slick.min.js	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/assets/js/slick.min.js	(from https://registroacademico.catolica.edu.sv/)
10:08:22	3693035/3693035	---M--	200	added ('OK')	image/png	etag:%2204238d3c1f4d11:0%22	https://registroacademico.catolica.edu.sv/rsc/slide_img/gradu01.png	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/slide_img/gradu01.png	(from https://registroacademico.catolica.edu.sv/)
10:08:22	1705/1705	---M--	200	added ('OK')	application/javascript	etag:%220cccaf9e6e1d11:0%22	https://registroacademico.catolica.edu.sv/rsc/assets/js/jquery.li-scroller.1.0.js	C:/UNICAES/registroacademico.catolica.edu.sv/rsc/assets/js/jquery.li-scroller.1.0.js	(from https://registroacademico.catolica.edu.sv/)
